,title,hits
293,레이드만 100시간한 유저가 알려주는 6성 레이드 솔플 공략 강의 영상 [포켓몬스터 스칼렛 바이올렛],118648
355,9세대 포켓몬과 함께! 즐거운 포켓몬 학교생활 시작! 【포켓몬스터 스칼렛·바이올렛】 1화 풀버전,116900
294,카메라만 켜서 이로치 얻는 방법(레시피포함),116566
325,과거폼 미래폼 패러독스 이로치는 어떻게 잡을까? l 포켓몬스터 스칼렛 바이올렛 이로치 뽑는 방법,116294
326,돌핀맨 저승갓숭 대도각참 진화하는 법 l 포켓몬스터 스칼렛 바이올렛 특수 진화 방법,114847
351,이로치 잘 나오는 장소가 있다?!,114292
196,포켓몬에서 미라이돈으로 부스터 사용하기 「포켓몬 스칼렛 바이올렛」,114291
449,인기 포켓몬 위치 / 포켓몬스터 스칼렛 바이올렛,112847
273,해외는 포켓몬 9세대를 어떻게 평가하고 있나?,112600
489,파라섹트는 죽은 포켓몬?? 악몽을 꾸게 하는 다크라이 괴담?? 묘지를 떠도는 트리미앙의 정체는?? 포켓몬 괴담 시즌2 (꼰&잼) - [전자오랏맨],111918
463,모든 패러독스 포켓몬 얻는 법! 고대폼/미래폼 +전설의 포켓몬까지?! [포켓몬스터 스칼렛 바이올렛],111900
270,알까기랑 대량발생 모두 다뤄봤습니다. l 포켓몬스터 스칼렛 바이올렛 이로치 뽑는 방법,110812
263,[공식]「포켓몬스터스칼렛・바이올렛」 3rd Trailer,110370
459,팔데아 도감 모든 포켓몬 총 정리! 001~400번 [포켓몬스터 스칼렛 바이올렛],109322
54,너넨 어디 가서 챔피언이라고 하지 마라 ㅋㅋ - 최약의 포켓몬 챔피언 TOP4,108425
582,아나운서 퇴출된 실수 사고6,105916
314,이로치 패러독스 포켓몬 가만히 서서 잡는법 (레시피 포함),105417
242,"[포켓몬 스칼렛/바이올렛] 포켓몬 스칼렛, 바이올렛의 차이점과 추천 스타팅 포켓몬~!!",105048
18,가논의 부활? 팬텀 가논의 등장 [젤다의 전설 왕국의 눈물 6화],103964
547,신규 블루아이즈 흑 포노아 뽑고 각성 무트와 우주편 첫 엔딩! [냥코대전쟁],103203
284,초보자 가이드 및 모르면 손해보는 꿀팁들! [포켓몬스터 스칼렛 바이올렛],103007
44,뭐?? 라이코가 드래곤 타입이 됐다고?? 포켓몬스터 스칼렛/바이올렛 버전 DLC 제로의 비보! 후편: 남청의 원반 추가 정보 총정리 - [전자오랏맨],100985
398,다른 버전 에리어제로에 들어가면 어떻게 될까? [포켓몬스터 스칼렛 바이올렛],100021
324,포켓몬스터 스칼렛 & 바이올렛 OST - VS 올림 & 투로 박사,99833
322,포켓몬스터 스칼렛 & 바이올렛 OST - VS 모란,98877
304,원하는 포켓몬 규토리볼로 무한으로 얻는법 (버그아님),95868
327,이로치 팔데아 도감 3탄! 201~300번 리뷰! (포켓몬스터 스칼렛/바이올렛 버전) - [전자오랏맨],95167
486,진화 아이템 획득 장소 정리 / 포켓몬스터 스칼렛 바이올렛,94727
260,준전설 위유이 사당 위치와 말뚝 위치 / 포켓몬스터 스칼렛 바이올렛,94653
353,"[포켓몬 스칼렛/바이올렛] 최강의 포획머신 버섯모 만들기 (버섯포자, 칼등치기)",94546
177,[포켓몬스터 바이올렛 #29] 챔피언 로드의 마지막! 내가 가지고 싶은 포켓몬들과 대결!,94443
356,스이쿤 비리디온 패러독스! 굽이치는물결과 무쇠잎새 레이드! l 포켓몬스터 스칼렛 바이올렛,93512
307,전설의포켓몬 유출? 미리 해두면 좋은것들! [포켓몬스터 스칼렛・바이올렛],87250
427,【2022년 최신 '닌텐도 스위치 OLED 스칼렛 바이올렛 에디션' 개봉기】 [사이],86746
280,[포켓몬스터 바이올렛 #34] 새로운 배틀폼 미라이돈을 잡았다!,85564
19,드디어 포켓몬홈 연동 시작!!! 포켓몬홈으로 풀린 포켓몬 목록과 기술들 총정리! - [전자오랏맨],84644
68,젤다 하다가 오랜만에 포켓몬 하면 생기는 일 :: [포켓몬스터 바이올렛],82716
243,준전설 딩루 사당 위치와 말뚝 위치 / 포켓몬스터 스칼렛 바이올렛,81502
389,최후의 포켓몬 배틀 [포켓몬스터 스칼렛 바이올렛],80667
373,포켓몬스터 스칼렛·바이올렛 (2화) / 22.11.17 풍월량 다시보기,80629
62,[포켓몬스터 바이올렛 #45] 도감을 채우자! 개굴반장 진화!!!,79254
239,스토리를 깨지않고 제로에리어에 들어가봤더니?,78506
448,6성 레이드 한방 딜 최강 파괴광선 님피아 사용법[포켓몬스터 스칼렛 바이올렛],78332
335,인생 첫 배틀에서 벌레한테 탈탈 털린 리코! 그리고 생각보다 은근히 호감인 또 한 명의 주인공 로이!! [포켓몬스터2023 4화 분석리뷰],75403
223,분노의 포켓몬스터 스칼렛·바이올렛 1일차 후기 [미노엔의 데이원리뷰],73878
436,대량발생 이로치작 최종정리 l 포켓몬스터 스칼렛 바이올렛 이로치 뽑는 방법,72471
266,[포켓몬 스칼렛/바이올렛] 초보자를 위한 최강의 사기 포켓몬 타부자고 만드는 법!!,71898
310,[공식]「포켓몬스터스칼렛・바이올렛 제로의 비보」 1st Trailer,71369
240,"새 캐릭터와 포켓몬, 새 컨텐츠, 뮤츠 레이드까지! 알찬 DLC 소식 같이 보기! :: [포켓몬 프레젠트]",70619
292,닌텐도 스위치 스칼렛/바이올렛 OLED 에디션 + 포켓몬스터 스칼렛/바이올렛 더블팩 언박싱 리뷰! - [전자오랏맨],70345
207,하늘을 나는 한카리아스 이로치 잡기 「포켓몬 스칼렛 바이올렛」,69602
367,패러독스 이로치작 과거폼 포획의 순간! l 포켓몬스터 스칼렛 바이올렛 이로치 헌팅,68029
235,포켓몬 스칼렛 바이올렛 금지구역에서 알 까면 생기는 일,67595
185,공개된 9세대 최신 소식과 DLC 정보 요약!!! -프레젠트 上-,67363
471,최전성기를 맞이한 근본 600족 포켓몬 망나뇽 사용법을 알아보자! [포켓몬스터 스칼렛 바이올렛],67123
255,[포켓몬 스칼렛/바이올렛] 초보자를 위한 최강의 테라레이드용 페어리 포켓몬 님피아 만드는 법!!,65985
380,준전설 총지엔 사당 위치와 말뚝 위치 / 포켓몬스터 스칼렛 바이올렛,65938
180,"[포켓몬스터 바이올렛 #33 스토리엔딩] 눈물이 나는 엔딩 (저작권 때문에 편집, 하지만 진짜로 눈물이 났어요)",65519
66,진짜 최강의 리자몽 :: [포켓몬스터 스칼렛 바이올렛],65335
159,"🤪역시 포켓몬스터 ㅅㅂ이다! [포켓몬스터 스칼렛, 바이올렛 리뷰]",63621
446,[22화] 친구들과 떠나는 팔데아 대공 모험! 에리어 제로! [포켓몬스터 스칼렛],63613
426,참푸르마을의 체육관 테스트 비밀메뉴! [ 포켓몬 스칼렛 바이올렛 / Pokémon scarlet violet ],63298
288,원하는 대량발생 바로 띄우는 방법 (레시피 포함) 「포켓몬스터스칼렛・바이올렛」,62666
93,"감스트 ""포켓몬스터 스칼렛"" 김인직 군의 스토리 시작! [23.7.12 포켓몬 스칼렛 #1]",61295
278,"[포켓몬 스칼렛/바이올렛] 초보자들을 위한 초반 10레벨대 보스 공략루트와 추천 포켓몬!! (단풍, 절벼게, 콜사, 떨구새 공략)",60163
410,[재업] 최고의 스타팅 포켓몬을 분석하라! 핵심 분석 가이드 영상 포켓몬스터 스칼렛 바이올렛,59736
433,이제 혼자여도 괜찮아... l 포켓몬스터 스칼렛 바이올렛 도감 채우는 방법,59041
16,스칼렛 바이올렛 DLC 최신 소식 같이 살펴보기! :: [포켓몬스터 스칼렛 바이올렛],58670
282,[포켓몬 스칼렛&바이올렛] 중후반 꿀경험치 레벨업 노가다 하는 방법,58668
225,벌써 9세대라니!! 할모니 우러욧 [ 포켓몬스터 스칼렛 바이올렛 ],58304
311,이로치 이브이 잡는법 공개!!! 대량발생 이브이 확률업 방법까지!! [포켓몬스터 스칼렛 바이올렛],58235
86,스칼렛 바이올렛 DLC 제로의 비보 떡밥 분석 & 예측!,57953
328,"5년 넘게 노가다해서 나온 ""역 이로치"" 갸라도스!?",57692
478,[포켓몬 스칼렛/바이올렛] 초보자를 위한 노력치 올리는 가장 쉬운 방법!!,57414
434,아니 복사버그가 또?? [포켓몬스터 스칼렛 바이올렛],57105
345,원하는 물품이 나올때까지 무한리셋!? [포켓몬스터 스칼렛・바이올렛 규토리볼 수급처 & 경매장 리셋법 소개영상],56439
361,포켓몬스터 스칼렛 바이올렛 충격적인 기술 이펙트 모습..... 레전드 아르세우스랑 비교,55225
472,드래곤 타입 포켓몬 이로치작 추천 장소 정리 / 포켓몬스터 스칼렛 바이올렛,55114
403,개굴닌자는 역시 검은색이죠 l 포켓몬스터 스칼렛 바이올렛 이로치 헌팅,54814
557,Glitch para no luchar contra Brock en primera generación. #shorts - pachi66,54089
392,[포켓몬 스칼렛/바이올렛] 초보자를 위한 최강의 테라레이드용 포켓몬 파라블레이즈!! (에이스번 이벤트 공략용),53896
229,메타몽과 여러 포켓몬 이야기 :: [포켓몬스터 바이올렛],53676
295,[포켓몬 스칼렛/바이올렛] 초보자를 위한 최강의 테라레이드 포켓몬 마릴리를 만드는 방법!!,52151
451,안사신 분들은 시청 마시고 사서 플레이 추천 l 포켓몬스터 스칼렛 바이올렛 스토리 엔딩,51502
357,포켓몬스터 스칼렛 & 바이올렛 OST - VS 코라이돈/미라이돈,50966
360,[포켓몬 스칼렛/바이올렛] 초보자를 위한 알기 쉬운 알부화(알교배) 가이드!!,50045
14,[공식]「포켓몬스터스칼렛・바이올렛 제로의 비보」 2nd Trailer,50035
146,너희들 기술 왜그래...? 포켓몬홈 신규 포켓몬 전용 기술모션 총정리 [포켓몬스터 스칼렛 바이올렛],49323
363,방생의 순간을 내 영상만으로 찍을줄이야... l 포켓몬스터 스칼렛 바이올렛 이로치 헌팅,48606
368,포켓몬스터 스칼렛·바이올렛 (5화-엔딩) / 22.11.29 풍월량 다시보기,48307
161,포켓몬 스칼렛 바이올렛에서 희귀한 달콤아 이로치 쉽게 뽑는법,48202
494,9세대에 추가된 새로운 진화 방법,48138
443,에딧X 이로치 미라이돈 & 코라이돈을 타고 달려보자! 누구나 쉽게 할 수 있는 이로치락 전설몬 탑승법! [포켓몬 스칼렛 바이올렛 정보&공략],47950
20,"메가진화 뮤츠X,Y 등장! 뮤츠 기술설명서 : 포켓몬 유나이트",47939
131,포켓몬스터 스칼렛·바이올렛 2화 22.11.19(토),47302
470,화려하게 부활한 포켓몬의 제왕 한카리아스 사용법을 알아보자! [포켓몬스터 스칼렛 바이올렛],46886
365,포켓몬스터 스칼렛·바이올렛 (3화) / 22.11.26 풍월량 다시보기,46248
362,드디어 새로운 지역으로! 스칼렛 바이올렛 DLC 공개! 신작 소식까지?! [포켓몬 프레젠트],45910
265,이제부터 팔데아 지방이다! 그런데 벌써부터 하차할지도 모르는 리코의 모험? [포켓몬스터2023 9화 분석리뷰],45773
89,여러분의 세이브 파일은 안녕하신지요?,45665
442,[포켓몬 바이올렛 #31화] 미래지역3 최종보스 대반전!,45345
302,[포켓몬 스칼렛/바이올렛] 초보자를 위한 챔피온 로드 사천왕&네모 공략과 추천 포켓몬,45057
1,[공식]「포켓몬스터스칼렛・바이올렛 제로의 비보」 소개 영상 「배틀을 흥미진진하게 만드는 새로운 요소&역대 파트너 포켓몬들이 총출동!」,44118
381,업데이트를 통해서만 얻을 수 있는 특별한 포켓몬 받는 방법!,44087
428,9세대도 복구용 백업 세이브 데이터가 존재합니다 !!!!!!,43290
430,진품... 뜨냐? l 포켓몬스터 스칼렛 바이올렛 이로치 헌팅,43204
65,스칼렛·바이올렛 DLC 최신정보,43164
267,"[포켓몬 스칼렛/바이올렛] 초보자들을 위한 초반 20레벨대 보스 공략루트와 추천 포켓몬!! (피나, 모야모, 멜로코, 꿈트렁 공략)",42282
555,ガチギレ3兄弟【ポケモンSV】【ロマン】,41778
440,포켓몬스터 스칼렛 & 바이올렛 OST - VS 준전설 포켓몬,41774
458,신규 정보 업데이트한 공식 홈페이지 둘러보자,39541
41,심판의뭉치 부터 액셀브레이크 까지! 포켓몬 전용기 최강자/최약체는 과연 누구?,39467
456,"6~7세대 포켓몬홈 입국 프로젝트 Pt.4 [포켓몬스터 스칼렛 바이올렛 & XY, 썬,문]",39023
300,[포켓몬 스칼렛/바이올렛] 초보자를 위한 에리어 제로 공략과 추천 포켓몬!!,38616
399,[포켓몬 스칼렛/바이올렛] 초보자를 위한 빠르게 렙업하는 방법 추천!! (럭키 사냥),38552
245,포켓몬도 억까를 한다..? 김민교의 포켓몬 스칼렛 1부 2022.11.18 풀영상,37647
460,포켓몬스터 스칼렛 바이올렛 '역대급 사기 테라스탈 포켓몬' 얻고 하루만에 챔피언 되었습니다.. ㄷㄷ,37460
